Id;Default;Deutsch;Englisch;De
100;Verzoegerung Stufe 2;;;
101;Verzögerung Stufe 1;;;
0;Wärmegewinnung;;;
1;Wärmepumpe;;;
2;Wärmesenke;;;
3;Sollwertmenue;;;
4;Sollwerte Wärmegewinnung;;;
6;Erdsonde;;;
7;Pumpe Grundwasser;;;
8;Luft;;;
9;Tiefhaltung;;;
10;Abtauspeicher;;;
11;Abtauungen;;;
12;Abwärme;;;
13;Extern;;;
14;Sollwerte Wärmepumpe;;;
15;Elektronisches Einspritzventil;;;
16;Einsatzgrenzen;;;
17;Verdichter;;;
18;Allgemein;;;
19;Sollwerte Wärmesenke;;;
20;UWP Verflüssiger;;;
21;HWP;;;
22;TWW;;;
23;Heizgruppe;;;
24;Hochhaltung;;;
25;Sollwerte Pumpe Verdampfer;;;
26;Sollwerte Erdsonde;;;
27;Sollwerte Luft;;;
28;Sollwerte Abwärme;;;
29;Sollwerte Pumpe Grundwasser;;;
30;Sollwertänderung ;;;
31;Infoseite;;;
32;Hauptmenü;;;
33;Sprachen;;;
34;Login;;;
35;Sollwerte;;;
36;Verlaufs- diagramm;;;
37;Uhrzeit einstellen;;;
38;SPS;;;
39;Konfiguration;;;
40;Kontakt;;;
41;Ein/Aus Wärmepumpe;;;
42;Ein;;;
43;Aus;;;
44;Kartenauswahl;;;
45;Digitale Eingänge;;;
46;Digitale Ausgänge;;;
47;Eingänge Sensor;;;
48;Analoge Ausgänge;;;
50;Offset;;;
51;Istwert;;;
52;7 Tage Programm;;;
53;Start Zeit;;;
5000;Alarme;;;
54;Montag Ein;;;
55;Montag Aus;;;
56;Dienstag Ein;;;
57;Dienstag Aus;;;
58;Mittwoch Ein;;;
59;Mittwoch Aus;;;
60;Donnerstag Ein;;;
61;Donnerstag Aus;;;
62;Freitag Ein;;;
63;Freitag Aus;;;
64;Samstag Ein;;;
65;Samstag Aus;;;
66;Sonntag Ein;;;
67;Sonntag Aus;;;
68;Zeitänderung;;;
69;Sollwertänderung;;;
70;Sprach Auswahl;;;
71;Heizkurve;;;
84;MOP-Einsatzgrenzen;;;
85;Überhitzung;;;
86;Maximaler Operating Pressure;;;
87;P-Faktor ;;;
88;I-Faktor;;;
89;D-Faktor;;;
90;Berechnungstakt PID Regler;;;
