Id;Default;Deutsch;Englisch;De
1;Alarm 1;;;
2;Alarm 2;;;
3;Alarm 3;;;
4;Alarm 4;;;
5;Alarm 5;;;
6;Alarm 6;;;
7;Alarm 7;;;
8;Alarm 8;;;
9;Alarm 9;;;
10;Alarm 10;;;
11;Alarm 11;;;
12;Alarm 12;;;
13;Alarm 13;;;
14;Alarm 14;;;
15;Alarm 15;;;
16;Alarm 16;;;
17;Alarm 17;;;
18;Alarm 18;;;
19;Alarm 19;;;
20;Alarm 20;;;
21;Alarm 21;;;
22;Alarm 22;;;
23;Alarm 23;;;
24;Alarm 24;;;
25;Alarm 25;;;
26;Alarm 26;;;
27;Alarm 27;;;
28;Alarm 28;;;
29;Alarm 29;;;
30;Alarm 30;;;
31;Alarm 31;;;
32;Alarm 32;;;
33;Alarm 33;;;
34;Alarm 34;;;
35;Alarm 35;;;
36;Alarm 36;;;
37;Alarm 37;;;
38;Alarm 38;;;
39;Alarm 39;;;
40;Alarm 40;;;
41;Alarm 41;;;
42;Alarm 42;;;
43;Alarm 43;;;
44;Alarm 44;;;
45;Alarm 45;;;
46;Alarm 46;;;
47;Alarm 47;;;
48;Alarm 48;;;
49;Alarm 49;;;
50;Alarm 50;;;
51;Alarm 51;;;
52;Alarm 52;;;
53;Alarm 53;;;
54;Alarm 54;;;
55;Alarm 55;;;
56;Alarm 56;;;
57;Alarm 57;;;
58;Alarm 58;;;
59;Alarm 59;;;
60;Alarm 60;;;
61;Alarm 61;;;
62;Alarm 62;;;
63;Alarm 63;;;
64;Alarm 64;;;
65;Alarm 65;;;
66;Alarm 66;;;
67;Alarm 67;;;
68;Alarm 68;;;
69;Alarm 69;;;
70;Alarm 70;;;
71;Alarm 71;;;
72;Alarm 72;;;
73;Alarm 73;;;
74;Alarm 74;;;
75;Alarm 75;;;
76;Alarm 76;;;
77;Alarm 77;;;
78;Alarm 78;;;
79;Alarm 79;;;
80;Alarm 80;;;
81;Alarm 81;;;
82;Alarm 82;;;
83;Alarm 83;;;
84;Alarm 84;;;
85;Alarm 85;;;
86;Alarm 86;;;
87;Alarm 87;;;
88;Alarm 88;;;
89;Alarm 89;;;
90;Alarm 90;;;
91;Alarm 91;;;
92;Alarm 92;;;
93;Alarm 93;;;
94;Alarm 94;;;
95;Alarm 95;;;
96;Alarm 96;;;
97;Alarm 97;;;
98;Alarm 98;;;
99;Alarm 99;;;
100;Alarm 100;;;
;;;;
